FemaleRetentionRate,MaleRetentionRate,year
0.8071428571428572,0.8281818181818181,2004-2005
0.7388888888888889,0.7785977859778598,2005-2006
0.9375,0.964259121370067,2006-2007
0.9186046511627907,0.9127040454222853,2007-2008
0.8404255319148937,0.9655667144906743,2008-2009
0.5719298245614035,0.680226570545829,2009-2010
0.8662613981762918,0.8900091659028414,2010-2011
1.0,0.954565901934323,2011-2012
1.0,1.0,2012-2013
0.42549668874172186,0.4294647323661831,2013-2014
0.7157894736842105,0.8202327238185704,2014-2015
1.0,0.8714512832159891,2015-2016
